0            	    2.79150000e+02
3600            	2.79222893e+02
7200            	2.79278919e+02
10800           	2.79326462e+02
14400           	2.79369089e+02
18000           	2.79408513e+02
21600           	2.79445653e+02
25200           	2.79481058e+02
28800           	2.79515083e+02
32400           	2.79547972e+02
36000           	2.79579904e+02
39600           	2.79611012e+02
43200           	2.79641400e+02
46800           	2.79671151e+02
50400           	2.79700332e+02
54000           	2.79729000e+02
57600           	2.79757202e+02
61200           	2.79784976e+02
64800           	2.79812357e+02
68400           	2.79839375e+02
72000           	2.79866055e+02
75600           	2.79892421e+02
79200           	2.79918492e+02
82800           	2.79944286e+02
86400           	2.79969820e+02
90000           	2.79995107e+02
93600           	2.80020162e+02
97200           	2.80044996e+02
100800          	2.80069620e+02
104400          	2.80094044e+02
108000          	2.80118278e+02
111600          	2.80142328e+02
115200          	2.80166204e+02
118800          	2.80189913e+02
122400          	2.80213461e+02
126000          	2.80236855e+02
129600          	2.80260099e+02
133200          	2.80283201e+02
136800          	2.80306165e+02
140400          	2.80328995e+02
144000          	2.80351696e+02
147600          	2.80374273e+02
151200          	2.80396729e+02
154800          	2.80419068e+02
158400          	2.80441294e+02
162000          	2.80463410e+02
165600          	2.80485419e+02
169200          	2.80507324e+02
172800          	2.80529129e+02
176400          	2.80550835e+02
180000          	2.80572446e+02
183600          	2.80593963e+02
187200          	2.80615390e+02
190800          	2.80636729e+02
194400          	2.80657981e+02
198000          	2.80679150e+02
201600          	2.80700236e+02
205200          	2.80721241e+02
208800          	2.80742169e+02
212400          	2.80763019e+02
216000          	2.80783795e+02
219600          	2.80804497e+02
223200          	2.80825127e+02
226800          	2.80845687e+02
230400          	2.80866178e+02
234000          	2.80886601e+02
237600          	2.80906958e+02
241200          	2.80927250e+02
244800          	2.80947478e+02
248400          	2.80967644e+02
252000          	2.80987748e+02
255600          	2.81007793e+02
259200          	2.81027778e+02
262800          	2.81047705e+02
266400          	2.81067575e+02
270000          	2.81087388e+02
273600          	2.81107147e+02
277200          	2.81126852e+02
280800          	2.81146503e+02
284400          	2.81166101e+02
288000          	2.81185648e+02
291600          	2.81205144e+02
295200          	2.81224590e+02
298800          	2.81243987e+02
302400          	2.81263336e+02
306000          	2.81282636e+02
309600          	2.81301890e+02
313200          	2.81321097e+02
316800          	2.81340258e+02
320400          	2.81359375e+02
324000          	2.81378446e+02
327600          	2.81397474e+02
331200          	2.81416459e+02
334800          	2.81435401e+02
338400          	2.81454302e+02
342000          	2.81473160e+02
345600          	2.81491978e+02
349200          	2.81510755e+02
352800          	2.81529492e+02
356400          	2.81548190e+02
360000          	2.81566849e+02
363600          	2.81585470e+02
367200          	2.81604052e+02
370800          	2.81622597e+02
